,original_title,Director,Combined,overview
22,The Hobbit: The Desolation of Smaug,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,Adventure,Fantasy,The Hobbit: The Desolation of Smaug","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug."
23,The Golden Compass,Chris Weitz,"Dakota Blue Richards,Nicole Kidman,Daniel Craig,Chris Weitz,Adventure,Fantasy,The Golden Compass","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny."
24,King Kong,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Peter Jackson,Adventure,Drama,Action,King Kong","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady."
25,Titanic,James Cameron,"Kate Winslet,Leonardo DiCaprio,Frances Fisher,James Cameron,Drama,Romance,Thriller,Titanic","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
26,Captain America: Civil War,Anthony Russo,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Anthony Russo,Adventure,Action,Science Fiction,Captain America: Civil War","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."
27,Battleship,Peter Berg,"Taylor Kitsch,Alexander Skarsgård,Rihanna,Peter Berg,Thriller,Action,Adventure,Battleship","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him."
28,Jurassic World,Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Colin Trevorrow,Action,Adventure,Science Fiction,Jurassic World","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond."
29,Skyfall,Sam Mendes,"Daniel Craig,Judi Dench,Javier Bardem,Sam Mendes,Action,Adventure,Thriller,Skyfall","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves."
30,Spider-Man 2,Sam Raimi,"Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi,Action,Adventure,Fantasy,Spider-Man 2","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood."
31,Iron Man 3,Shane Black,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Shane Black,Action,Adventure,Science Fiction,Iron Man 3","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
32,Alice in Wonderland,Tim Burton,"Mia Wasikowska,Johnny Depp,Anne Hathaway,Tim Burton,Family,Fantasy,Adventure,Alice in Wonderland","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
33,X-Men: The Last Stand,Brett Ratner,"Hugh Jackman,Halle Berry,Ian McKellen,Brett Ratner,Adventure,Action,Science Fiction,X-Men: The Last Stand","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto."
34,Monsters University,Dan Scanlon,"Billy Crystal,John Goodman,Steve Buscemi,Dan Scanlon,Animation,Family,Monsters University",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
35,Transformers: Revenge of the Fallen,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Michael Bay,Science Fiction,Action,Adventure,Transformers: Revenge of the Fallen","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
36,Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg,Stanley Tucci,Kelsey Grammer,Michael Bay,Science Fiction,Action,Adventure,Transformers: Age of Extinction","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs."
37,Oz: The Great and Powerful,Sam Raimi,"James Franco,Mila Kunis,Rachel Weisz,Sam Raimi,Fantasy,Adventure,Family,Oz: The Great and Powerful","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil."
38,The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx,Marc Webb,Action,Adventure,Fantasy,The Amazing Spider-Man 2","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past."
39,TRON: Legacy,Joseph Kosinski,"Garrett Hedlund,Jeff Bridges,Olivia Wilde,Joseph Kosinski,Adventure,Action,Science Fiction,TRON: Legacy","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world."
40,Cars 2,John Lasseter,"Owen Wilson,Larry the Cable Guy,Michael Caine,John Lasseter,Animation,Family,Adventure,Cars 2",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
41,Green Lantern,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard,Martin Campbell,Adventure,Action,Thriller,Green Lantern","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited."
42,Toy Story 3,Lee Unkrich,"Tom Hanks,Tim Allen,Ned Beatty,Lee Unkrich,Animation,Family,Comedy,Toy Story 3","Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy."
43,Terminator Salvation,McG,"Christian Bale,Sam Worthington,Anton Yelchin,McG,Action,Science Fiction,Thriller,Terminator Salvation","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe."
44,Furious 7,James Wan,"Vin Diesel,Paul Walker,Dwayne Johnson,James Wan,Action,Furious 7",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
45,World War Z,Marc Forster,"Brad Pitt,Mireille Enos,Abigail Hargrove,Marc Forster,Action,Drama,Horror,World War Z","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls."
46,X-Men: Days of Future Past,Bryan Singer,"Hugh Jackman,James McAvoy,Michael Fassbender,Bryan Singer,Action,Adventure,Fantasy,X-Men: Days of Future Past",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.
47,Star Trek Into Darkness,J.J. Abrams,"Chris Pine,Zachary Quinto,Zoe Saldana,J.J. Abrams,Action,Adventure,Science Fiction,Star Trek Into Darkness","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew."
48,Jack the Giant Slayer,Bryan Singer,"Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Bryan Singer,Action,Family,Fantasy,Jack the Giant Slayer","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself."
49,The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Baz Luhrmann,Drama,Romance,The Great Gatsby","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await."
50,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Mike Newell,Adventure,Fantasy,Action,Prince of Persia: The Sands of Time","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world."
51,Pacific Rim,Guillermo del Toro,"Idris Elba,Charlie Hunnam,Charlie Day,Guillermo del Toro,Action,Science Fiction,Adventure,Pacific Rim","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse."
52,Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf,John Malkovich,Ken Jeong,Michael Bay,Action,Science Fiction,Adventure,Transformers: Dark of the Moon","Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets."
53,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"Harrison Ford,Cate Blanchett,Shia LaBeouf,Steven Spielberg,Adventure,Action,Indiana Jones and the Kingdom of the Crystal Skull","Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts."
54,The Good Dinosaur,Peter Sohn,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Peter Sohn,Adventure,Animation,Family,The Good Dinosaur",An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.
55,Brave,Brenda Chapman,"Kelly Macdonald,Julie Walters,Billy Connolly,Brenda Chapman,Animation,Adventure,Comedy,Brave","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall."
56,Star Trek Beyond,Justin Lin,"Chris Pine,Zachary Quinto,Karl Urban,Justin Lin,Action,Adventure,Science Fiction,Star Trek Beyond","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test."
57,WALL·E,Andrew Stanton,"Ben Burtt,Elissa Knight,Jeff Garlin,Andrew Stanton,Animation,Family,WALL·E","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves."
58,Rush Hour 3,Brett Ratner,"Chris Tucker,Jackie Chan,Hiroyuki Sanada,Brett Ratner,Action,Comedy,Crime,Rush Hour 3","After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother."
59,2012,Roland Emmerich,"John Cusack,Amanda Peet,Chiwetel Ejiofor,Roland Emmerich,Action,Adventure,Science Fiction,2012","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
60,A Christmas Carol,Robert Zemeckis,"Gary Oldman,Jim Carrey,Steve Valentine,Robert Zemeckis,Animation,Drama,A Christmas Carol","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
61,Jupiter Ascending,Lilly Wachowski,"Mila Kunis,Channing Tatum,Sean Bean,Lilly Wachowski,Science Fiction,Fantasy,Action,Jupiter Ascending","In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…"
62,The Legend of Tarzan,David Yates,"Alexander Skarsgård,Margot Robbie,Christoph Waltz,David Yates,Action,Adventure,The Legend of Tarzan","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"William Moseley,Anna Popplewell,Skandar Keynes,Andrew Adamson,Adventure,Family,Fantasy,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever."
64,X-Men: Apocalypse,Bryan Singer,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Bryan Singer,Science Fiction,X-Men: Apocalypse","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
65,The Dark Knight,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Christopher Nolan,Drama,Action,Crime,The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
66,Up,Pete Docter,"Ed Asner,Christopher Plummer,Jordan Nagai,Pete Docter,Animation,Comedy,Family,Up","Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."
67,Monsters vs Aliens,Conrad Vernon,"Seth Rogen,Reese Witherspoon,Hugh Laurie,Conrad Vernon,Animation,Family,Adventure,Monsters vs Aliens","When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters..."
68,Iron Man,Jon Favreau,"Robert Downey Jr.,Terrence Howard,Jeff Bridges,Jon Favreau,Action,Science Fiction,Adventure,Iron Man","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
69,Hugo,Martin Scorsese,"Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Martin Scorsese,Adventure,Drama,Family,Hugo","Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past."
70,Wild Wild West,Barry Sonnenfeld,"Will Smith,Kevin Kline,Kenneth Branagh,Barry Sonnenfeld,Action,Adventure,Comedy,Wild Wild West",Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.
